meaning_id;word;definition;examples_markdown
6194;brzy;;
6405;cvětėnj;;
7254;domašnji, domašny;;
7714;ekonomist;;
8017;formaľny;;
8472;gravitacija;;
9535;izpȯlnjeńje;;
10789;koristnik;;
12217;mirny;;
13010;narodnosť;;
13042;naseljeny;;
14251;obučati;;
14547;odpečatati;;
15811;pěvati;;
16395;pȯlniti;;
17103;prěduslovje;;
17268;prěseljati sę;;
17941;prošly;;
18143;råbstvo;;
18439;råzličati;;
18851;regionaľny;;
20271;stańje vojny;;
20980;talent;;
21373;trivųgȯľnik;;
1;glavnoposta;Glavny poštovy urjad v gradě ili državě, centralna poštova institucija;!Poslal jsem pismo iz **glavnoposty** v centrě grada. — **Glavnoposta** obraботаva vse medžunarodne poštylky.
2;mul;Sameč osla; domašne živine podobne konju, ale menejše s dlgymi ušami;!Na fermě stojal **mul** i tihо ržal. — **Mul** jest križancem osla i kobyly.
3;posta;Ustanova ili služba dlja prějimanja, sortirovanja i dostavky pism i paker;!Kupil jsem marky v **poště** na uglu ulice. — **Pošta** dostavla pismo za tri dny.
4;postar;Muž, ktory rabota v poště i dostavlaje pisma i pakety adresatom;!**Postar** prines pismo rano utrom. — Každy den **postar** obhožaje svoju trasu.
5;teatr;Město ili zdanje, kde igraju spektakly, dramy i drugy scenične predstavy;!Večerom idemo v **teatr** na novu komediju. — **Teatr** byl poln publiky.
6;tema;Osnovna mysl, predmet razgovora, naučnogo izsledovanja ili uměničnogo děl;!**Tema** lekciji byla istorija Slovjan. — Glavna **tema** romana jest ljubov i vojna.
7;teoriia;Sistem naučno utvrđenyh idej, pravyl i zakonov, ktory objasnjajut někoju oblast realnosti;!Einšteinova **teorija** relativnosti izměnila fiziku. — **Teorija** evoluciji objasnja razvitije živyh organizmov.
8;a;Prvy liter latinskogo alfavita; jedinica količestva v matematikě;!Litera **a** jest prva v alfavitě. — V matematikě **a** označa neznanu veličinu.
9;a;Spójka protivpostavna: no, ale; vyraža protivrěčje ili razliku;!On jest bogaty, **a** ona jest uboga. — Jа хоču jesti, **a** ne imaju časo.
10;abazin;Člen kavkazskogo naroda, živučego v Karačajevo-Čerkesiji;!**Abazini** sut jedny iz starodavnyh narodov Kavkaza. — V regioně živut **abazini** i drugy etnične grupy.
11;abazinsky;Odnosęčy se k abazinom, jih jezyku ili kulturnoj tradiciji;!**Abazinsky** jezyk jest iz kavkazskoj jezyčnoj rodiny. — Ona študuje **abazinsku** kulturu i folklor.
12;abbat;Načalnik mužskogo katoličkogo monastira; titul v katoličkoj crkvi;!**Abbat** blagoslovil novy monastyr. — **Abbat** Benediktinskogo monastira byl izvesten svoju mudrostju.
13;abbatjsa;Načalnica ženskogo katoličkogo monastira; titul v katoličkoj crkvi;!**Abbatjsa** rukovodi monastir 30 lět. — Stara **abbatjsa** učila mlade monahyni.
14;abissinec;Starodavne iměnovanje etiopca; obyvatel Etiopije v istoričeskom kontekstě;!**Abissinec** putoval po pustyni na velbludě. — V starověku **abissinci** imali svoju imperiju.
15;abissinsky;Odnosęčy se k Abissiniji (Etiopiji), jih kulturu ili istoriju;!**Abissinska** kultura imaje bogatu tradiciju. — **Abissinsky** jezyk pripada k semitskoj grupě.
16;abo;Spojka ili; vyraža alternativu ili vybor medžu dvěma možnostami;!Hočeš kavu **abo** čaj? — Možeš iti pješkom **abo** jesti avtobusom.
17;abrakadabra;Magična formula ili zaklinanje; bezsmysleny nabr zvukov;!**Abrakadabra!** — skazal mag i izvukl zajca iz šapky. — To jest prosta **abrakadabra**, ne věru v to.
18;aby;Spojka celna: dlja togo aby, s cělju; vvodit podrědno prědloženje s infinitivom ili subjunktivom;!Učim se, **aby** polučiti dobru rabotu. — On rabota **aby** zarabotati na chlěb.
19;aby;Spojka uslovna: jesli by, v slučajě že;!**Aby** on prišel, vsě bylo by inače. — **Aby** ty znaje pravdu, ty by ne govoril tako.
20;ac;Ale, no; protivpostavna spojka;!On jest mlady, **ac** velmi mudry. — **Ac** to jest trudno, my to sčinimo.
21;adrjaticesko morje;More medžu Apeninskim i Balkanskim poluostrovom, čast Sredizemnogo morja;!**Adrjaticesko morje** omiva beregy Italiji, Hrvatske i Črne Gory. — Turisti ljubjat **Adrjaticesko morje** za čistu vodu.
22;aga;Car nebo carice na turskom; čest v slavjansku folkloru;!Sultan vydal poveljenje, i **aga** ispolnil jeho. — V turskoj armiji **aga** byl visoky čin.
23;agoj;Meždometje dlja privučenja vnimanja; hej, ej!;!**Agoj**, kuda ideš? — **Agoj**, poslušaj mene!
24;ah;Meždometje vyražajuče različne emocije (udivlenje, bol, radost, žal);!**Ah**, kako krasivo! — **Ah**, to boli!
25;ako;Jesli; uslovna spojka;!**Ako** hočeš, možeš iti s nami. — **Ako** by on věděl, on bi prišel.
26;ale;Spojka protivpostavna: no, odnako;!On jest dobru, **ale** někdy byva zly. — Hoču kupiti tu knigu, **ale** ne imaju denege.
27;aleksandr;Mužsko ime grčkogo proishoždenja („obranitel ljudij“);!**Aleksandr** Veliky byl car Makedonije. — Moj drug **Aleksandr** rabota v bibliotekě.
28;aleksej;Mužsko ime grčkogo proishoždenja („obranitel“);!**Aleksej** prišel včera na sastanok. — Svety **Aleksej** jest patronom ubogih.
29;aljpy;Gorska sistemas v Centralnoj Evropě, protežuča se črěz 8 držav;!**Aljpy** sut najvěče gory v Evropě. — Turisti ljubjat lyžovat v **Aljpah**.
30;allah;Ime Boga v islamě; jediny Bog po islamskomu věrě;!Muslimany věrujut v jedinogo **Allaha**. — **Allah** jest milosrdny i milostivy.
31;alljluia;Cerkveno hvaloslovje značuče „chvalite Boga“, upotrěbljajemo v liturgiji;!Pěvci zapěli **alljluia** v hramě. — **Alljluia** jest radostno crkveno pěsnopěnje.
32;ama;Spojka protivpostavna: ale, odnako, vse že;!On jest vělikomu učeniku, **ama** skromny člověk. — **Ama** to jest pravda, ja ne hoču věriti.
33;andorra;Mala država v Pirenejah medžu Francijeju i Španijeju;!**Andorra** jest mala kneževina v gorah. — Stolica **Andorry** jest Andorra la Vella.
34;andrej;Mužsko ime grčkogo proishoždenja („mužny, hrabry“);!**Andrej** jest moj najlěpši drug. — Apostol **Andrej** jest patronom Rusi.
35;angar;Věliko zdanje dlja skladovanja i remonta samoletov, mašin ili vojne tehniky;!V **angaru** stalo deset samoletov. — **Angar** byl poln vojne mašin.
36;antjhrist;Protivnik Hrista; demonična figura, ktora po hristijanskom věrěnju pojavi se prěd koncom světa;!V Apokalipsisě **antjhrist** bude carovati tri i pol lěta. — Mnogy verujučy boje sę **antjhrista**.
37;apa;Meždometje straha ili udivlenja;!**Apa**, to jest strašno! — **Apa**, kako tako može byti?
38;apostol;Učenik Hristov, poslany propovědati hristijanstvo; širitel idej;!**Apostoli** sut šli po světu propovědati evangelije. — Svety Pavel byl **apostolom** narodov.
39;araby;Semitsky narod, živučy prevne v državah Bližnjego Vostoka i Severnej Afriky;!**Araby** sut sozdali bogatu kulturu i nauku v srednjem věku. — **Araby** govorjut arabskym jezykom.
